,Trust_Score,Kms_Driven,Year,RegState_Codes,Brand_Codes,Fuel_Codes,Trans_Codes,Model_Name,Price
2521,6.5,34785,2016,0,8,0,2,Creta,13.89647007600795
2522,7.3,29698,2017,0,27,0,2,Innova,14.234588588372059
2523,7.3,43522,2017,0,10,0,2,Compass,14.27255811864973
2524,6.6,58456,2013,0,7,2,2,Brio,12.404702168306931
2525,7.1,23652,2014,0,16,2,2,Swift,12.96439876711509
2526,8.1,20125,2018,0,7,2,2,Jazz,13.218098921273986
2527,7.2,52544,2017,0,10,0,2,Compass,14.348071058676197
2528,7.2,51255,2017,0,10,0,2,Compass,14.155428992475466
2529,6.5,49525,2017,0,8,0,2,Creta,13.91528892236572
2530,7.0,55244,2017,0,26,0,2,Hexa,13.8394301889545
2531,6.9,46859,2017,0,27,0,2,Innova,14.229601027131434
2532,6.6,28452,2017,0,16,0,2,Vitara,13.734480529716814
2533,7.3,32142,2007,0,27,2,2,Innova,12.904739564267844
2534,7.1,23125,2010,0,27,0,2,Innova,13.317122268901917
2535,6.8,31142,2014,0,27,0,2,Innova,13.75704953138673
2536,6.7,23652,2014,0,8,2,2,Grand,12.660432674225387
2537,6.9,22563,2015,0,8,2,2,Grand,12.702145987508962
2538,7.2,14789,2018,0,27,0,2,Innova,14.44127945574427
2539,7.3,12362,2019,0,8,0,2,Creta,14.245253883870058
2540,7.0,41256,2010,0,8,2,2,i10,12.270511161667411
2541,6.7,57484,2015,0,16,2,2,Ciaz,13.239483081994186
2542,6.7,69501,2012,0,13,0,2,XUV500,13.195115573766403
2543,6.7,78901,2010,0,16,2,2,Alto,11.735012458323599
2544,6.7,41102,2013,0,8,2,2,Eon,12.118732123469156
2545,6.7,62452,2005,0,16,2,2,Zen,11.692752245730048
2546,6.6,36524,2016,0,16,2,2,Swift,13.15082643390465
2547,7.2,36524,2014,0,16,2,2,Omni,12.373906426151432
2548,6.6,41548,2016,0,16,0,2,Baleno,13.256880284250144
2549,6.7,46524,2011,0,16,2,2,Alto,11.848332849122954
2550,6.7,4784,2019,0,16,0,2,Ertiga,13.887030899373132
2551,6.7,22145,2010,0,8,2,2,i10,12.294239188392057
2552,6.9,26589,2017,0,27,0,2,Innova,14.494808275927149
2553,7.1,41250,2017,0,23,0,2,Captur,13.969630665895645
2554,7.8,39895,2017,0,23,0,2,Captur,13.969225142715896
2555,6.6,69523,2011,0,8,2,2,i20,12.57116010482635
2556,6.6,64522,2013,0,16,2,2,Swift,12.681990004157937
2557,6.9,53855,2017,0,13,0,2,XUV500,13.839217318908906
2558,7.1,46585,2017,0,27,0,2,Innova,14.489820934670387
2559,6.9,31236,2017,0,27,0,2,Innova,14.234588588372059
2560,6.8,25632,2017,0,27,0,2,Innova,14.394014269267476
2561,7.2,55412,2013,0,27,0,2,Fortuner,14.241451269483765
2562,6.7,22142,2014,0,16,2,2,ALTO,12.148083298325403
2563,8.2,37545,2014,0,27,0,2,Innova,13.950823487708726
2564,7.1,21425,2018,0,26,0,2,Tiago,13.153497636990089
2565,6.7,21142,2014,0,6,2,2,EcoSport,13.401534837111274
2566,7.1,23452,2013,0,6,2,2,EcoSport,13.130801674621459
2567,6.6,36525,2018,0,27,0,2,Innova,14.561460792650767
2568,6.5,18300,2017,0,8,0,2,Creta,13.865247892473842
